"Модуль","Название","Описание","Тип драйвера","Режим запуска","Состояние","Статус","Разрешить остановку","Разрешить паузу","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Дата ссылки","Path","Init(bytes)"
"BthLEEnum","Драйвер Bluetooth с низким энергопотреблением","Драйвер Bluetooth с низким энергопотреблением","Kernel ","Manual","Running","OK","TRUE","FALSE","61 440","36 864","0","","C:\WINDOWS\system32\drivers\Microsoft.Bluetooth.Legacy.LEEnumerator.sys","4 096"
"BthMini","Драйвер радио Bluetooth","Драйвер радио Bluetooth","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12 288","24 576","0","","C:\WINDOWS\system32\drivers\BTHMINI.sys","4 096"
"BTHMODEM","Драйвер связи Bluetooth-модема","Драйвер связи Bluetooth-модема","Kernel ","Manual","Running","OK","TRUE","FALSE","12 288","57 344","0","","C:\WINDOWS\system32\drivers\bthmodem.sys","4 096"
"BthPan","Устройства Bluetooth (личной сети)","Устройства Bluetooth (личной сети)","Kernel ","Manual","Running","OK","TRUE","FALSE","12 288","102 400","0","","C:\WINDOWS\system32\drivers\bthpan.sys","4 096"
"BTHPORT","Драйвер порта Bluetooth","Драйвер порта Bluetooth","Kernel ","Manual","Running","OK","TRUE","FALSE","393 216","1 474 560","0","","C:\WINDOWS\system32\drivers\BTHport.sys","8 192"
"BTHUSB","Драйвер порта USB радиомодуля Bluetooth","Драйвер порта USB радиомодуля Bluetooth","Kernel ","Manual","Running","OK","TRUE","FALSE","24 576","61 440","0","","C:\WINDOWS\system32\drivers\BTHUSB.sys","4 096"
"bttflt","Фильтр Microsoft Hyper-V VHDPMEM BTT","Фильтр Microsoft Hyper-V VHDPMEM BTT","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","20 480","0","","C:\WINDOWS\system32\drivers\bttflt.sys","4 096"
"buttonconverter","Служба для устройств контроля переносных устройств","Служба для устройств контроля переносных устройств","Kernel ","Manual","Running","OK","TRUE","FALSE","12 288","36 864","0","","C:\WINDOWS\system32\drivers\buttonconverter.sys","4 096"
"CAD","Драйвер вынесения решения по оплате","Драйвер вынесения решения по оплате","Kernel ","Manual","Running","OK","TRUE","FALSE","32 768","16 384","0","","C:\WINDOWS\system32\drivers\CAD.sys","4 096"
"CDD","Канонический драйвер дисплея","Канонический драйвер дисплея","Kernel ","Manual","Running","OK","TRUE","FALSE","12 288","245 760","0","","C:\WINDOWS\system32\cdd.dll","4 096"
"cdfs","CD/DVD File System Reader","CD/DVD File System Reader","File System ","Disabled","Stopped","OK","FALSE","FALSE","69 632","16 384","0","","C:\WINDOWS\system32\DRIVERS\cdfs.sys","4 096"
"cdrom","Драйвер CD-ROM дисковода","Драйвер CD-ROM дисковода","Kernel ","System","Running","OK","TRUE","FALSE","81 920","77 824","0","","C:\WINDOWS\system32\drivers\cdrom.sys","4 096"
