"Модуль","Название","Описание","Тип драйвера","Режим запуска","Состояние","Статус","Разрешить остановку","Разрешить паузу","Paged Pool(bytes)","Code(bytes)","BSS(bytes)","Дата ссылки","Path","Init(bytes)"
"NetBIOS","NetBIOS Interface","NetBIOS Interface","File System ","System","Running","OK","TRUE","FALSE","20 480","28 672","0","","C:\WINDOWS\system32\drivers\netbios.sys","4 096"
"NetBT","NetBT","NetBT","Kernel ","System","Running","OK","TRUE","FALSE","77 824","200 704","0","","C:\WINDOWS\system32\DRIVERS\netbt.sys","4 096"
"netvsc","netvsc","netvsc","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","249 856","0","","C:\WINDOWS\system32\drivers\netvsc.sys","4 096"
"NetworkPrivacyPolicy","Microsoft Network Privacy Policy Service","Microsoft Network Privacy Policy Service","Kernel ","Auto","Stopped","OK","FALSE","FALSE","4 096","49 152","0","","C:\WINDOWS\system32\DriverStore\FileRepository\networkprivacypolicy.inf_amd64_9cb09ef0ae0d2066\NetworkPrivacyPolicy.sys","4 096"
"Netwtw10","___ Драйвер адаптера Intel(R) Wireless для Windows 10 64 Bit ","___ Драйвер адаптера Intel(R) Wireless для Windows 10 64 Bit ","Kernel ","Manual","Running","OK","TRUE","FALSE","413 696","3 571 712","0","18.10.2022 18:55:11","C:\WINDOWS\system32\drivers\Netwtw10.sys","8 192"
"Npfs","Npfs","Npfs","File System ","System","Running","OK","TRUE","FALSE","53 248","12 288","0","","C:\WINDOWS\system32\drivers\Npfs.sys","4 096"
"npsvctrig","Named pipe service trigger provider","Named pipe service trigger provider","Kernel ","System","Running","OK","TRUE","FALSE","12 288","12 288","0","","C:\WINDOWS\system32\drivers\npsvctrig.sys","4 096"
"nsiproxy","NSI Proxy Service Driver","NSI Proxy Service Driver","Kernel ","System","Running","OK","TRUE","FALSE","8 192","28 672","0","","C:\WINDOWS\system32\drivers\nsiproxy.sys","4 096"
"Ntfs","Ntfs","Ntfs","File System ","Manual","Running","OK","TRUE","FALSE","2 191 360","380 928","0","","C:\WINDOWS\system32\drivers\Ntfs.sys","16 384"
"Null","Null","Null","Kernel ","System","Running","OK","TRUE","FALSE","0","8 192","0","","C:\WINDOWS\system32\drivers\Null.sys","4 096"
"nvdimm","Драйвер устройства (Майкрософт) NVDIMM","Драйвер устройства (Майкрософт) NVDIMM","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32 768","57 344","0","","C:\WINDOWS\system32\drivers\nvdimm.sys","4 096"
"NVHDA","Service for NVIDIA High Definition Audio Driver","Service for NVIDIA High Definition Audio Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","49 152","45 056","0","03.01.2022 13:46:34","C:\WINDOWS\system32\drivers\nvhda64v.sys","4 096"
"nvlddmkm","nvlddmkm","nvlddmkm","Kernel ","Manual","Running","OK","TRUE","FALSE","31 666 176","8 687 616","0","28.01.2022 10:50:31","C:\WINDOWS\system32\DriverStore\FileRepository\nvmi.inf_amd64_6fa10f555e4bd12b\nvlddmkm.sys","40 960"
"nvmedisk","Драйвер диска Microsoft NVMe","Драйвер диска Microsoft NVMe","Kernel ","Boot","Running","OK","TRUE","FALSE","20 480","28 672","0","","C:\WINDOWS\system32\drivers\nvmedisk.sys","4 096"
"nvpcf","NVPCF Service","NVPCF Service","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","159 744","0","17.12.2021 0:47:33","C:\WINDOWS\system32\drivers\nvpcf.sys","4 096"
"nvraid","nvraid","nvraid","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","90 112","0","21.04.2014 21:28:42","C:\WINDOWS\system32\drivers\nvraid.sys","8 192"
"nvstor","nvstor","nvstor","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","118 784","0","21.04.2014 21:34:03","C:\WINDOWS\system32\drivers\nvstor.sys","4 096"
"P9Rdr","Plan 9 Redirector Driver","Plan 9 Redirector Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","81 920","0","","C:\WINDOWS\system32\drivers\p9rdr.sys","4 096"
"Parport","Драйвер параллельного порта","Драйвер параллельного порта","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","90 112","0","","C:\WINDOWS\system32\drivers\parport.sys","4 096"
"partmgr","Драйвер разделов","Драйвер разделов","Kernel ","Boot","Running","OK","TRUE","FALSE","53 248","77 824","0","","C:\WINDOWS\system32\drivers\partmgr.sys","4 096"
"pci","Драйвер шины PCI","Драйвер шины PCI","Kernel ","Boot","Running","OK","TRUE","FALSE","233 472","221 184","0","","C:\WINDOWS\system32\drivers\pci.sys","12 288"
"pciide","pciide","pciide","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","8 192","0","","C:\WINDOWS\system32\drivers\pciide.sys","4 096"
"pcmcia","pcmcia","pcmcia","Kernel ","Manual","Stopped","OK","FALSE","FALSE","45 056","53 248","0","","C:\WINDOWS\system32\drivers\pcmcia.sys","8 192"
"pcw","Performance Counters for Windows Driver","Performance Counters for Windows Driver","Kernel ","Boot","Running","OK","TRUE","FALSE","40 960","8 192","0","","C:\WINDOWS\system32\drivers\pcw.sys","4 096"
"pdc","pdc","pdc","Kernel ","Boot","Running","OK","TRUE","FALSE","94 208","32 768","0","","C:\WINDOWS\system32\drivers\pdc.sys","8 192"
"PEAUTH","PEAUTH","PEAUTH","Kernel ","Auto","Running","OK","TRUE","FALSE","577 536","151 552","0","","C:\WINDOWS\system32\drivers\peauth.sys","4 096"
"percsas2i","percsas2i","percsas2i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","40 960","0","15.03.2016 3:50:11","C:\WINDOWS\system32\drivers\percsas2i.sys","4 096"
"percsas3i","percsas3i","percsas3i","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","49 152","0","02.06.2018 0:47:02","C:\WINDOWS\system32\drivers\percsas3i.sys","4 096"
"PktMon","Packet Monitor Driver","Packet Monitor Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","94 208","0","","C:\WINDOWS\system32\drivers\PktMon.sys","4 096"
"PktMonApi","Packet Monitor Export Driver","Packet Monitor Export Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","16 384","0","","C:\WINDOWS\system32\drivers\PktMonApi.sys","4 096"
"PlutonHeci","Microsoft Pluton Security Service","Microsoft Pluton Security Service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","20 480","0","","C:\WINDOWS\system32\DriverStore\FileRepository\pluton-heci.inf_amd64_e52312fdc36b9f00\pluton-heci.sys","4 096"
"PlutonHsp2","Microsoft Pluton Service","Microsoft Pluton Service","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","20 480","0","","C:\WINDOWS\system32\DriverStore\FileRepository\plutonhsp2.inf_amd64_da8d58b2bd5293b6\PlutonHsp2.sys","4 096"
"pmem","Драйвер диска энергонезависимой памяти (Майкрософт)","Драйвер диска энергонезависимой памяти (Майкрософт)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","28 672","53 248","0","","C:\WINDOWS\system32\drivers\pmem.sys","4 096"
"PNPMEM","Драйвер модуля памяти (Microsoft)","Драйвер модуля памяти (Microsoft)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","8 192","0","","C:\WINDOWS\system32\drivers\pnpmem.sys","4 096"
"portcfg","portcfg","portcfg","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12 288","12 288","0","","C:\WINDOWS\system32\drivers\portcfg.sys","4 096"
"PptpMiniport","Мини-порт глобальной сети (PPTP)","Мини-порт глобальной сети (PPTP)","Kernel ","Manual","Running","OK","TRUE","FALSE","65 536","36 864","0","","C:\WINDOWS\system32\drivers\raspptp.sys","4 096"
"PRM","Драйвер Microsoft PRM","Драйвер Microsoft PRM","Kernel ","Boot","Running","OK","TRUE","FALSE","4 096","16 384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\prm.inf_amd64_7c38475757a1f016\PRM.sys","4 096"
"Processor","Драйвер процессора","Драйвер процессора","Kernel ","Manual","Stopped","OK","FALSE","FALSE","122 880","57 344","0","","C:\WINDOWS\system32\drivers\processr.sys","12 288"
"Psched","Планировщик пакетов QoS","Планировщик пакетов QoS","Kernel ","System","Running","OK","TRUE","FALSE","20 480","81 920","0","","C:\WINDOWS\system32\drivers\pacer.sys","4 096"
"pvscsi","pvscsi Storage Controller Driver","pvscsi Storage Controller Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","24 576","0","20.05.2021 6:55:26","C:\WINDOWS\system32\drivers\pvscsii.sys","4 096"
"QWAVEdrv","Драйвер QWAVE","Драйвер QWAVE","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","40 960","0","","C:\WINDOWS\system32\drivers\qwavedrv.sys","4 096"
"Ramdisk","Драйвер Windows RAM-диска","Драйвер Windows RAM-диска","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16 384","12 288","0","","C:\WINDOWS\system32\drivers\ramdisk.sys","4 096"
"RasAcd","Remote Access Auto Connection Driver","Remote Access Auto Connection Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","16 384","0","","C:\WINDOWS\system32\DRIVERS\rasacd.sys","4 096"
"RasAgileVpn","Мини-порт глобальной сети (IKEv2)","Мини-порт глобальной сети (IKEv2)","Kernel ","Manual","Running","OK","TRUE","FALSE","32 768","49 152","0","","C:\WINDOWS\system32\drivers\AgileVpn.sys","4 096"
"Rasl2tp","Мини-порт глобальной сети (L2TP)","Мини-порт глобальной сети (L2TP)","Kernel ","Manual","Running","OK","TRUE","FALSE","73 728","24 576","0","","C:\WINDOWS\system32\drivers\rasl2tp.sys","4 096"
"RasPppoe","Драйвер PPPOE для удаленного доступа","Драйвер PPPOE для удаленного доступа","Kernel ","Manual","Running","OK","TRUE","FALSE","49 152","32 768","0","","C:\WINDOWS\system32\DRIVERS\raspppoe.sys","4 096"
"RasSstp","Мини-порт глобальной сети (SSTP)","Мини-порт глобальной сети (SSTP)","Kernel ","Manual","Running","OK","TRUE","FALSE","49 152","28 672","0","","C:\WINDOWS\system32\drivers\rassstp.sys","4 096"
"rdbss","Перенаправленная подсистема буферизации","Перенаправленная подсистема буферизации","File System ","System","Running","OK","TRUE","FALSE","253 952","167 936","0","","C:\WINDOWS\system32\DRIVERS\rdbss.sys","8 192"
"rdpbus","Драйвер шины перенаправителя устройств удаленных рабочих столов","Драйвер шины перенаправителя устройств удаленных рабочих столов","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","12 288","0","","C:\WINDOWS\system32\drivers\rdpbus.sys","4 096"
"RDPDR","Драйвер перенаправителя устройств удаленных рабочих столов","Драйвер перенаправителя устройств удаленных рабочих столов","Kernel ","Manual","Stopped","OK","FALSE","FALSE","118 784","28 672","0","","C:\WINDOWS\system32\drivers\rdpdr.sys","4 096"
"rdyboost","ReadyBoost","ReadyBoost","Kernel ","Boot","Running","OK","TRUE","FALSE","45 056","176 128","0","","C:\WINDOWS\system32\drivers\rdyboost.sys","4 096"
"ReFS","ReFS","ReFS","File System ","Manual","Stopped","OK","FALSE","FALSE","802 816","1 880 064","0","","C:\WINDOWS\system32\drivers\ReFS.sys","16 384"
"ReFSv1","ReFSv1","ReFSv1","File System ","Manual","Stopped","OK","FALSE","FALSE","352 256","409 600","0","","C:\WINDOWS\system32\drivers\ReFSv1.sys","8 192"
"RFCOMM","Bluetooth Device (RFCOMM Protocol TDI)","Bluetooth Device (RFCOMM Protocol TDI)","Kernel ","Manual","Running","OK","TRUE","FALSE","20 480","139 264","0","","C:\WINDOWS\system32\drivers\rfcomm.sys","4 096"
"rhproxy","Драйвер прокси-сервера центра ресурсов","Драйвер прокси-сервера центра ресурсов","Kernel ","Manual","Stopped","OK","FALSE","FALSE","49 152","49 152","0","","C:\WINDOWS\system32\drivers\rhproxy.sys","4 096"
"rspndr","Отвечающее устройство обнаружения топологии канального уровня","Отвечающее устройство обнаружения топологии канального уровня","Kernel ","Auto","Running","OK","TRUE","FALSE","12 288","65 536","0","","C:\WINDOWS\system32\drivers\rspndr.sys","4 096"
"rt68cx21","Realtek NetAdapter Driver","Realtek NetAdapter Driver","Kernel ","Manual","Running","OK","TRUE","FALSE","4 096","389 120","0","14.07.2021 20:18:54","C:\WINDOWS\system32\DriverStore\FileRepository\rt68cx21x64.inf_amd64_8522f006d7e88897\rt68cx21x64.sys","4 096"
"rtcx21","Realtek NetAdapter Driver","Realtek NetAdapter Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","462 848","0","04.10.2021 9:54:20","C:\WINDOWS\system32\DriverStore\FileRepository\rtcx21x64.inf_amd64_feec7a9662e785f0\rtcx21x64.sys","4 096"
"s3cap","s3cap","s3cap","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","8 192","0","","C:\WINDOWS\system32\drivers\vms3cap.sys","4 096"
"sbp2port","SBP-2 драйвер шины транспорт/протокол","SBP-2 драйвер шины транспорт/протокол","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16 384","81 920","0","","C:\WINDOWS\system32\drivers\sbp2port.sys","4 096"
"scfilter","Драйвер фильтра смарт-карты класса PnP","Драйвер фильтра смарт-карты класса PnP","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","32 768","0","","C:\WINDOWS\system32\DRIVERS\scfilter.sys","4 096"
"scmbus","Драйвер Microsoft шины памяти класса хранилища","Драйвер Microsoft шины памяти класса хранилища","Kernel ","Manual","Stopped","OK","FALSE","FALSE","49 152","81 920","0","","C:\WINDOWS\system32\drivers\scmbus.sys","4 096"
"sdbus","sdbus","sdbus","Kernel ","Manual","Stopped","OK","FALSE","FALSE","28 672","212 992","0","","C:\WINDOWS\system32\drivers\sdbus.sys","8 192"
"SdcaHidInbox","Драйвер HID SoundWire","Драйвер HID SoundWire","Kernel ","Manual","Stopped","OK","FALSE","FALSE","73 728","45 056","0","","C:\WINDOWS\system32\DriverStore\FileRepository\sdcahid.inf_amd64_9b043c5c82568ed0\SdcaHid.sys","4 096"
"SdcaMfdInbox","Многофункциональный драйвер звука SoundWire","Многофункциональный драйвер звука SoundWire","Kernel ","Manual","Stopped","OK","FALSE","FALSE","45 056","86 016","0","","C:\WINDOWS\system32\DriverStore\FileRepository\sdcamfd.inf_amd64_7616b07de0d13d6f\SdcaMfd.sys","4 096"
"sdstor","Драйвер порта SD Storage","Драйвер порта SD Storage","Kernel ","Manual","Stopped","OK","FALSE","FALSE","24 576","57 344","0","","C:\WINDOWS\system32\drivers\sdstor.sys","4 096"
"SerCx","Serial UART Support Library","Serial UART Support Library","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","61 440","0","","C:\WINDOWS\system32\drivers\SerCx.sys","4 096"
"SerCx2","Serial UART Support Library","Serial UART Support Library","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","118 784","0","","C:\WINDOWS\system32\drivers\SerCx2.sys","4 096"
"Serenum","Драйвер фильтра Serenum","Драйвер фильтра Serenum","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16 384","12 288","0","","C:\WINDOWS\system32\drivers\serenum.sys","4 096"
"Serial","Драйвер последовательного порта","Драйвер последовательного порта","Kernel ","Manual","Stopped","OK","FALSE","FALSE","40 960","28 672","0","","C:\WINDOWS\system32\drivers\serial.sys","4 096"
"sermouse","Драйвер мыши для посл. порта","Драйвер мыши для посл. порта","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12 288","12 288","0","","C:\WINDOWS\system32\drivers\sermouse.sys","4 096"
"sfloppy","Дисковод большой емкости","Дисковод большой емкости","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","12 288","0","","C:\WINDOWS\system32\drivers\sfloppy.sys","4 096"
"SiSRaid2","SiSRaid2","SiSRaid2","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","32 768","0","24.09.2008 21:28:20","C:\WINDOWS\system32\drivers\SiSRaid2.sys","4 096"
"SiSRaid4","SiSRaid4","SiSRaid4","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","69 632","0","02.10.2008 0:56:04","C:\WINDOWS\system32\drivers\sisraid4.sys","4 096"
"SmartSAMD","SmartSAMD","SmartSAMD","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","188 416","0","21.02.2019 20:54:44","C:\WINDOWS\system32\drivers\SmartSAMD.sys","4 096"
"smbdirect","smbdirect","smbdirect","File System ","Manual","Stopped","OK","FALSE","FALSE","12 288","131 072","0","","C:\WINDOWS\system32\DRIVERS\smbdirect.sys","4 096"
"spaceparser","spaceparser","spaceparser","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","28 672","0","","C:\WINDOWS\system32\drivers\spaceparser.sys","4 096"
"spaceport","Драйвер дискового пространства","Драйвер дискового пространства","Kernel ","Boot","Running","OK","TRUE","FALSE","200 704","454 656","0","","C:\WINDOWS\system32\drivers\spaceport.sys","4 096"
"SpbCx","Simple Peripheral Bus Support Library","Simple Peripheral Bus Support Library","Kernel ","Manual","Running","OK","TRUE","FALSE","4 096","65 536","0","","C:\WINDOWS\system32\drivers\SpbCx.sys","4 096"
"srv2","Драйвер сервера Server SMB 2.xxx","Драйвер сервера Server SMB 2.xxx","File System ","Manual","Running","OK","TRUE","FALSE","286 720","249 856","0","","C:\WINDOWS\system32\DRIVERS\srv2.sys","4 096"
"srvnet","srvnet","srvnet","File System ","Manual","Running","OK","TRUE","FALSE","98 304","188 416","0","","C:\WINDOWS\system32\DRIVERS\srvnet.sys","4 096"
"stexstor","stexstor","stexstor","Kernel ","Manual","Stopped","OK","FALSE","FALSE","0","16 384","0","27.11.2012 3:02:51","C:\WINDOWS\system32\drivers\stexstor.sys","4 096"
"storahci","Стандартный драйвер SATA AHCI (Майкрософт)","Стандартный драйвер SATA AHCI (Майкрософт)","Kernel ","Boot","Running","OK","TRUE","FALSE","0","163 840","0","","C:\WINDOWS\system32\drivers\storahci.sys","4 096"
"storflt","Ускоритель хранилища Microsoft Hyper-V","Ускоритель хранилища Microsoft Hyper-V","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","24 576","0","","C:\WINDOWS\system32\drivers\vmstorfl.sys","4 096"
"stornvme","Стандартный драйвер NVM Express (Майкрософт)","Стандартный драйвер NVM Express (Майкрософт)","Kernel ","Boot","Running","OK","TRUE","FALSE","4 096","225 280","0","","C:\WINDOWS\system32\drivers\stornvme.sys","4 096"
"storqosflt","Драйвер-фильтр качества обслуживания хранилища","Драйвер-фильтр качества обслуживания хранилища","File System ","Auto","Running","OK","TRUE","FALSE","20 480","40 960","0","","C:\WINDOWS\system32\drivers\storqosflt.sys","4 096"
"storufs","Драйвер для универсального флеш-накопителя (UFS) Microsoft","Драйвер для универсального флеш-накопителя (UFS) Microsoft","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","73 728","0","","C:\WINDOWS\system32\drivers\storufs.sys","4 096"
"storvsc","storvsc","storvsc","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","28 672","0","","C:\WINDOWS\system32\drivers\storvsc.sys","4 096"
"swenum","Драйвер программной шины","Драйвер программной шины","Kernel ","Manual","Running","OK","TRUE","FALSE","4 096","4 096","0","","C:\WINDOWS\system32\DriverStore\FileRepository\swenum.inf_amd64_8b9dd76f362e3ec6\swenum.sys","4 096"
"Tcpip","Драйвер протокола TCP/IP","Драйвер протокола TCP/IP","Kernel ","Boot","Running","OK","TRUE","FALSE","204 800","1 970 176","0","","C:\WINDOWS\system32\drivers\tcpip.sys","12 288"
"Tcpip6","@todo.dll,-100;Microsoft IPv6 Protocol Driver","@todo.dll,-100;Microsoft IPv6 Protocol Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","204 800","1 970 176","0","","C:\WINDOWS\system32\drivers\tcpip.sys","12 288"
"tcpipreg","@%SystemRoot%\System32\drivers\tcpipreg.sys,-10110,","@%SystemRoot%\System32\drivers\tcpipreg.sys,-10110,","Kernel ","Auto","Running","OK","TRUE","FALSE","4 096","40 960","0","","C:\WINDOWS\system32\drivers\tcpipreg.sys","4 096"
"tdx","Драйвер поддержки NetIO Legacy TDI","Драйвер поддержки NetIO Legacy TDI","Kernel ","System","Running","OK","TRUE","FALSE","4 096","110 592","0","","C:\WINDOWS\system32\DRIVERS\tdx.sys","4 096"
"terminpt","Microsoft Remote Desktop Input Driver","Microsoft Remote Desktop Input Driver","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12 288","16 384","0","","C:\WINDOWS\system32\drivers\terminpt.sys","4 096"
"ThermalFilter","Драйвер-фильтр Лава (Майкрософт)","Драйвер-фильтр Лава (Майкрософт)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","16 384","16 384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\c_thermal.inf_amd64_76835d8c9d60a0ca\ThermalFilter.sys","4 096"
"TPM","TPM","TPM","Kernel ","Manual","Running","OK","TRUE","FALSE","8 192","290 816","0","","C:\WINDOWS\system32\drivers\tpm.sys","4 096"
"TsUsbFlt","Драйвер-фильтр класса USB-концентратора удаленного рабочего стола","Драйвер-фильтр класса USB-концентратора удаленного рабочего стола","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","49 152","0","","C:\WINDOWS\system32\drivers\tsusbflt.sys","4 096"
"TsUsbGD","Универсальное USB-устройство удаленного рабочего стола","Универсальное USB-устройство удаленного рабочего стола","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","28 672","0","","C:\WINDOWS\system32\drivers\TsUsbGD.sys","4 096"
"tsusbhub","Remote Desktop USB Hub","Remote Desktop USB Hub","Kernel ","Manual","Stopped","OK","FALSE","FALSE","8 192","98 304","0","","C:\WINDOWS\system32\drivers\tsusbhub.sys","4 096"
"tunnel","Драйвер адаптера минипорта для туннеля (Майкрософт)","Драйвер адаптера минипорта для туннеля (Майкрософт)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12 288","73 728","0","","C:\WINDOWS\system32\drivers\tunnel.sys","4 096"
"UASPStor","Драйвер USB-устройства SCSI (UAS)","Драйвер USB-устройства SCSI (UAS)","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","61 440","0","","C:\WINDOWS\system32\drivers\uaspstor.sys","4 096"
"UcmCx0101","USB Connector Manager KMDF Class Extension","USB Connector Manager KMDF Class Extension","Kernel ","Manual","Stopped","OK","FALSE","FALSE","12 288","151 552","0","","C:\WINDOWS\system32\Drivers\UcmCx.sys","4 096"
"UcmTcpciCx0101","UCM-TCPCI KMDF Class Extension","UCM-TCPCI KMDF Class Extension","Kernel ","Manual","Stopped","OK","FALSE","FALSE","24 576","114 688","0","","C:\WINDOWS\system32\Drivers\UcmTcpciCx.sys","4 096"
"UcmUcsiAcpiClient","Клиент ACPI UCM-UCSI","Клиент ACPI UCM-UCSI","Kernel ","Manual","Stopped","OK","FALSE","FALSE","20 480","16 384","0","","C:\WINDOWS\system32\drivers\UcmUcsiAcpiClient.sys","4 096"
"UcmUcsiCx0101","UCM-UCSI KMDF Class Extension","UCM-UCSI KMDF Class Extension","Kernel ","Manual","Stopped","OK","FALSE","FALSE","36 864","90 112","0","","C:\WINDOWS\system32\Drivers\UcmUcsiCx.sys","4 096"
"UCPD","UCPD","UCPD","File System ","System","Running","OK","TRUE","FALSE","8 192","86 016","0","","C:\WINDOWS\system32\drivers\UCPD.sys","4 096"
"Ucx01000","USB Host Support Library","USB Host Support Library","Kernel ","Manual","Running","OK","TRUE","FALSE","4 096","155 648","0","","C:\WINDOWS\system32\drivers\ucx01000.sys","4 096"
"UdeCx","USB Device Emulation Support Library","USB Device Emulation Support Library","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","45 056","0","","C:\WINDOWS\system32\drivers\udecx.sys","4 096"
"udfs","udfs","udfs","File System ","Disabled","Stopped","OK","FALSE","FALSE","200 704","122 880","0","","C:\WINDOWS\system32\DRIVERS\udfs.sys","4 096"
"UEFI","Драйвер UEFI (Майкрософт)","Драйвер UEFI (Майкрософт)","Kernel ","Manual","Running","OK","TRUE","FALSE","16 384","16 384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\uefi.inf_amd64_76e7c15a1110d3a0\UEFI.sys","4 096"
"UevAgentDriver","UevAgentDriver","UevAgentDriver","File System ","Disabled","Stopped","OK","FALSE","FALSE","8 192","12 288","0","","C:\WINDOWS\system32\drivers\UevAgentDriver.sys","4 096"
"Ufx01000","USB Function Class Extension","USB Function Class Extension","Kernel ","Manual","Stopped","OK","FALSE","FALSE","81 920","163 840","0","","C:\WINDOWS\system32\drivers\ufx01000.sys","4 096"
"UfxChipidea","USB-контроллер Chipidea","USB-контроллер Chipidea","Kernel ","Manual","Stopped","OK","FALSE","FALSE","24 576","65 536","0","","C:\WINDOWS\system32\DriverStore\FileRepository\ufxchipidea.inf_amd64_6e8bb2ed82835828\UfxChipidea.sys","4 096"
"ufxsynopsys","USB-котроллер Synopsys","USB-котроллер Synopsys","Kernel ","Manual","Stopped","OK","FALSE","FALSE","32 768","98 304","0","","C:\WINDOWS\system32\drivers\ufxsynopsys.sys","4 096"
"uiomap","Служба драйверов Microsoft UIO Mapper","Служба драйверов Microsoft UIO Mapper","Kernel ","System","Running","OK","TRUE","FALSE","4 096","28 672","0","","C:\WINDOWS\system32\DriverStore\FileRepository\uiomap.inf_amd64_8cd9ec9703d5beaf\uiomap.sys","4 096"
"umbus","UMBus драйвер перечислителя","UMBus драйвер перечислителя","Kernel ","Manual","Running","OK","TRUE","FALSE","32 768","16 384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\umbus.inf_amd64_914dd46b4b013b1b\umbus.sys","4 096"
"UmPass","Драйвер UMPass Microsoft","Драйвер UMPass Microsoft","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","12 288","0","","C:\WINDOWS\system32\DriverStore\FileRepository\umpass.inf_amd64_06e016c9ffecbf73\umpass.sys","4 096"
"UnionFS","UnionFS","UnionFS","File System ","Auto","Running","OK","TRUE","FALSE","8 192","331 776","0","","C:\WINDOWS\system32\drivers\UnionFS.sys","4 096"
"UrsChipidea","Драйвер с переключением ролей Chipidea USB","Драйвер с переключением ролей Chipidea USB","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","20 480","0","","C:\WINDOWS\system32\DriverStore\FileRepository\urschipidea.inf_amd64_37fb14618bce547b\urschipidea.sys","4 096"
"UrsCx01000","USB Role-Switch Support Library","USB Role-Switch Support Library","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","57 344","0","","C:\WINDOWS\system32\drivers\urscx01000.sys","4 096"
"UrsSynopsys","Драйвер с переключением ролей Synopsys USB","Драйвер с переключением ролей Synopsys USB","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","16 384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\urssynopsys.inf_amd64_ef0be23d0f063014\urssynopsys.sys","4 096"
"usb-platformdetection","Драйвер обнаружения USB-платформы","Драйвер обнаружения USB-платформы","Kernel ","Manual","Stopped","OK","FALSE","FALSE","4 096","16 384","0","","C:\WINDOWS\system32\DriverStore\FileRepository\usb-platformdetection.inf_amd64_abf2b37b7ed327ea\usb-platformdetection.sys","4 096"
"Usb4DeviceRouter","Служба маршрутизатора USB4 Device","Служба маршрутизатора USB4 Device","Kernel ","Manual","Stopped","OK","FALSE","FALSE","192 512","1 110 016","0","","C:\WINDOWS\system32\DriverStore\FileRepository\usb4devicerouter.inf_amd64_064bc8cce4569b7a\Usb4DeviceRouter.sys","4 096"
"Usb4HostRouter","Служба маршрутизатора узла USB4","Служба маршрутизатора узла USB4","Kernel ","Manual","Stopped","OK","FALSE","FALSE","397 312","593 920","0","","C:\WINDOWS\system32\DriverStore\FileRepository\usb4hostrouter.inf_amd64_aab890db11d08b44\Usb4HostRouter.sys","4 096"
